best_rank,average_rank,worst_rank,line,score,ef,ep,nf,np,faulty,source
1,9.0,17,298,1.000000000000,16,0,0,25,False,case YAML_PARSE_FLOW_SEQUENCE_ENTRY_MAPPING_KEY_STATE:
1,9.0,17,299,1.000000000000,16,0,0,25,False,"return yaml_parser_parse_flow_sequence_entry_mapping_key(parser, event);"
1,9.0,17,1016,1.000000000000,16,0,0,25,False,parser->state = YAML_PARSE_FLOW_SEQUENCE_ENTRY_MAPPING_KEY_STATE;
1,9.0,17,1017,1.000000000000,16,0,0,25,False,"MAPPING_START_EVENT_INIT(*event, NULL, NULL,"
1,9.0,17,1020,1.000000000000,16,0,0,25,False,SKIP_TOKEN(parser);
1,9.0,17,1021,1.000000000000,16,0,0,25,False,return 1;
1,9.0,17,1046,1.000000000000,16,0,0,25,False,"yaml_parser_parse_flow_sequence_entry_mapping_key(yaml_parser_t *parser,"
1,9.0,17,1051,1.000000000000,16,0,0,25,False,token = PEEK_TOKEN(parser);
1,9.0,17,1052,1.000000000000,16,0,0,25,False,if (!token) return 0;
1,9.0,17,1054,1.000000000000,16,0,0,25,False,if (token->type != YAML_VALUE_TOKEN && token->type != YAML_FLOW_ENTRY_TOKEN
1,9.0,17,1055,1.000000000000,16,0,0,25,False,&& token->type != YAML_FLOW_SEQUENCE_END_TOKEN) {
1,9.0,17,1061,1.000000000000,16,0,0,25,False,else if (token->type == YAML_FLOW_SEQUENCE_END_TOKEN) {
1,9.0,17,1062,1.000000000000,16,0,0,25,True,"parser->state = POP(parser, parser->states);"
1,9.0,17,1063,1.000000000000,16,0,0,25,False,"(void)POP(parser, parser->marks);"
1,9.0,17,1064,1.000000000000,16,0,0,25,False,"SEQUENCE_END_EVENT_INIT(*event, token->start_mark, token->end_mark);"
1,9.0,17,1065,1.000000000000,16,0,0,25,False,SKIP_TOKEN(parser);
1,9.0,17,1066,1.000000000000,16,0,0,25,False,return 1;
18,19.5,21,1003,0.917662935482,16,3,0,22,False,if (token->type == YAML_FLOW_ENTRY_TOKEN) {
18,19.5,21,1004,0.917662935482,16,3,0,22,False,SKIP_TOKEN(parser);
18,19.5,21,1005,0.917662935482,16,3,0,22,False,token = PEEK_TOKEN(parser);
18,19.5,21,1006,0.917662935482,16,3,0,22,False,if (!token) return 0;
22,58.0,94,292,0.894427191000,16,4,0,21,False,case YAML_PARSE_FLOW_SEQUENCE_FIRST_ENTRY_STATE:
22,58.0,94,293,0.894427191000,16,4,0,21,False,"return yaml_parser_parse_flow_sequence_entry(parser, event, 1);"
22,58.0,94,295,0.894427191000,16,4,0,21,False,case YAML_PARSE_FLOW_SEQUENCE_ENTRY_STATE:
22,58.0,94,296,0.894427191000,16,4,0,21,False,"return yaml_parser_parse_flow_sequence_entry(parser, event, 0);"
22,58.0,94,307,0.894427191000,16,4,0,21,False,case YAML_PARSE_FLOW_MAPPING_FIRST_KEY_STATE:
